tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,threeten-extra-84,org.threeten.extra.scale.UtcInstant,8,289,89527,5303,65,0,0,0,72,71,98.61111,34,33,97.05882,72,71,98.61111,71,98.61111,1,120,2
evosuite,collections-24,org.apache.commons.collections4.functors.EqualPredicate,6,301,78752,1204,8,0,0,0,16,16,100.0,6,6,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,collections-15,org.apache.commons.collections4.functors.DefaultEquator,2,270,77054,1243,8,0,0,0,5,5,100.0,8,7,87.5,8,8,100.0,8,100.0,0,120,2
evosuite,jsoup-36,org.jsoup.nodes.DocumentType,3,286,90270,5042,22,0,0,0,38,38,100.0,26,26,100.0,23,23,100.0,23,100.0,0,120,2
evosuite,threeten-extra-84,org.threeten.extra.scale.UtcInstant,1,259,87547,5469,66,0,0,0,72,68,94.44444,34,31,91.17647,72,71,98.61111,71,98.61111,1,120,2
evosuite,collections-20,org.apache.commons.collections4.map.LinkedMap,4,263,165293,22284,54,0,0,0,25,24,96.0,4,4,100.0,1,0,0.0,0,0.0,1,120,2
evosuite,threeten-extra-97,org.threeten.extra.scale.TaiInstant,6,269,88726,5213,64,0,0,0,64,62,96.875,24,24,100.0,52,52,100.0,52,100.0,0,120,2
evosuite,ta4j-79,org.ta4j.core.indicators.statistics.VarianceIndicator,3,265,117360,11,0,0,0,0,15,0,0.0,2,0,0.0,0,0,0.0,0,0.0,0,120,0
evosuite,collections-25,org.apache.commons.collections4.sequence.EditScript,3,266,63590,4017,7,0,0,0,20,20,100.0,2,2,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,threeten-extra-94,org.threeten.extra.chrono.CopticEra,1,259,77676,1605,6,0,0,0,8,8,100.0,3,3,100.0,3,3,100.0,3,100.0,0,120,2
evosuite,spatial4j-44,org.locationtech.spatial4j.shape.impl.InfBufLine,7,301,95235,7866,46,0,6,0,49,48,97.95918,42,38,90.47619,1,0,0.0,0,0.0,1,120,2
evosuite,ta4j-69,org.ta4j.core.Trade,8,280,91638,6649,78,0,0,0,60,44,73.333336,22,20,90.909096,9,0,0.0,0,0.0,9,120,2
evosuite,threeten-extra-89,org.threeten.extra.chrono.Symmetry010Chronology,3,262,86612,2762,60,0,0,0,47,47,100.0,15,15,100.0,40,40,100.0,40,100.0,0,120,2
evosuite,collections-10,org.apache.commons.collections4.multimap.ArrayListValuedHashMap,1,273,91776,6277,9,0,0,0,26,26,100.0,2,2,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,collections-12,org.apache.commons.collections4.functors.CloneTransformer,1,272,76272,1123,2,0,0,0,5,2,40.0,2,0,0.0,4,1,25.0,1,25.0,3,120,2
evosuite,spatial4j-41,org.locationtech.spatial4j.io.WKTReader,4,265,112748,10103,137,0,1,0,153,125,81.69935,68,58,85.29411,20,0,0.0,0,0.0,20,120,2
evosuite,ta4j-68,org.ta4j.core.indicators.aroon.AroonUpIndicator,10,291,81087,6053,10,0,0,0,19,12,63.15789,6,1,16.666668,8,0,0.0,0,0.0,8,120,2
evosuite,collections-7,org.apache.commons.collections4.ListUtils,9,270,103052,6156,88,0,0,0,100,100,100.0,74,70,94.59459,0,0,0.0,0,0.0,0,120,2
evosuite,ta4j-73,org.ta4j.core.criteria.pnl.GrossProfitCriterion,10,281,82405,6128,12,0,0,0,11,11,100.0,4,3,75.0,0,0,0.0,0,0.0,0,120,2
evosuite,collections-23,org.apache.commons.collections4.TransformerUtils,3,273,89040,5361,31,0,0,0,34,31,91.17647,4,2,50.0,2,0,0.0,0,0.0,2,120,2
evosuite,ta4j-71,org.ta4j.core.num.NaN,10,279,83831,1771,52,0,0,0,38,38,100.0,4,4,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,spatial4j-49,org.locationtech.spatial4j.io.GeoJSONWriter,6,267,91462,7845,20,0,0,0,105,99,94.28571,36,32,88.88889,3,0,0.0,0,0.0,3,120,2
evosuite,ta4j-72,org.ta4j.core.indicators.MACDIndicator,9,271,94698,6054,17,0,0,0,11,11,100.0,2,2,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,collections-20,org.apache.commons.collections4.map.LinkedMap,5,262,191216,22492,56,0,0,0,25,22,88.0,4,4,100.0,3,0,0.0,0,0.0,3,120,2
evosuite,jsoup-36,org.jsoup.nodes.DocumentType,5,261,90009,5268,23,0,0,0,38,38,100.0,26,26,100.0,23,23,100.0,23,100.0,0,120,2
evosuite,collections-24,org.apache.commons.collections4.functors.EqualPredicate,4,260,77808,1174,9,0,0,0,16,16,100.0,6,6,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,spatial4j-41,org.locationtech.spatial4j.io.WKTReader,1,249,112516,10045,139,0,0,0,153,123,80.39216,68,56,82.35294,22,0,0.0,0,0.0,22,120,2
evosuite,ta4j-60,org.ta4j.core.utils.BarSeriesUtils,9,275,88311,6111,43,0,0,0,78,77,98.71795,74,66,89.189186,1,0,0.0,0,0.0,1,120,2
evosuite,jsoup-28,org.jsoup.helper.DataUtil,9,277,110510,10961,59,0,0,0,124,93,75.0,114,67,58.77193,95,82,86.31579,82,86.31579,13,120,2
evosuite,collections-12,org.apache.commons.collections4.functors.CloneTransformer,9,291,76664,1105,2,0,0,0,5,2,40.0,2,0,0.0,4,1,25.0,1,25.0,3,120,2
evosuite,jsoup-38,org.jsoup.select.NodeTraversor,6,291,100769,9802,24,0,0,0,77,77,100.0,66,62,93.93939,0,0,0.0,0,0.0,0,120,2
evosuite,ta4j-72,org.ta4j.core.indicators.MACDIndicator,2,272,82977,6152,19,0,0,0,11,11,100.0,2,2,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,threeten-extra-93,org.threeten.extra.DayOfMonth,4,277,84803,5670,52,0,1,0,53,52,98.11321,32,30,93.75,44,43,97.72727,43,97.72727,1,120,2
evosuite,collections-23,org.apache.commons.collections4.TransformerUtils,8,297,89998,4574,22,0,0,0,34,21,61.764706,4,2,50.0,10,0,0.0,0,0.0,10,120,2
evosuite,collections-12,org.apache.commons.collections4.functors.CloneTransformer,10,283,76541,1219,2,0,0,0,5,2,40.0,2,0,0.0,4,1,25.0,1,25.0,3,120,2
evosuite,collections-19,org.apache.commons.collections4.iterators.ZippingIterator,5,269,80596,4304,11,0,0,0,35,35,100.0,14,14,100.0,15,15,100.0,15,100.0,0,120,2
evosuite,collections-18,org.apache.commons.collections4.IteratorUtils,7,303,112251,8712,78,0,1,0,226,143,63.274338,142,77,54.22535,47,0,0.0,0,0.0,47,120,2
evosuite,threeten-extra-98,org.threeten.extra.chrono.CopticChronology,1,253,83483,2961,41,0,0,0,24,24,100.0,4,4,100.0,22,22,100.0,22,100.0,0,120,2
evosuite,threeten-extra-91,org.threeten.extra.chrono.DiscordianChronology,1,261,86158,5799,60,0,0,0,48,48,100.0,19,19,100.0,39,39,100.0,39,100.0,0,120,2
evosuite,collections-17,org.apache.commons.collections4.trie.analyzer.StringKeyAnalyzer,1,263,80889,1413,31,0,0,0,40,39,97.5,34,31,91.17647,56,55,98.21429,55,98.21429,1,120,2
evosuite,collections-3,org.apache.commons.collections4.iterators.SingletonIterator,3,268,8806,3823,9,0,0,0,22,22,100.0,14,14,100.0,9,9,100.0,9,100.0,0,120,2
evosuite,collections-20,org.apache.commons.collections4.map.LinkedMap,1,252,128465,36054,63,0,2,0,25,22,88.0,4,4,100.0,3,0,0.0,0,0.0,3,120,2
evosuite,ta4j-64,org.ta4j.core.criteria.NumberOfBreakEvenPositionsCriterion,3,266,81332,6126,10,0,0,0,12,12,100.0,4,3,75.0,0,0,0.0,0,0.0,0,120,2
evosuite,spatial4j-50,org.locationtech.spatial4j.shape.impl.BufferedLine,5,289,105842,7900,63,0,4,0,98,96,97.95918,64,55,85.9375,2,0,0.0,0,0.0,2,120,2
evosuite,ta4j-65,org.ta4j.core.criteria.NumberOfLosingPositionsCriterion,10,287,80607,6148,9,0,0,0,5,5,100.0,2,1,50.0,0,0,0.0,0,0.0,0,120,2
evosuite,spatial4j-48,org.locationtech.spatial4j.shape.impl.BufferedLineString,3,265,102639,8577,50,0,8,0,54,53,98.14815,28,26,92.85714,0,0,0.0,0,0.0,0,120,2
evosuite,collections-20,org.apache.commons.collections4.map.LinkedMap,3,297,127091,21353,64,0,0,0,25,24,96.0,4,4,100.0,14,13,92.85714,13,92.85714,1,120,2
evosuite,collections-11,org.apache.commons.collections4.bidimap.DualTreeBidiMap,2,268,90546,5800,12,0,0,0,60,21,35.0,12,0,0.0,24,0,0.0,0,0.0,24,120,2
evosuite,collections-11,org.apache.commons.collections4.bidimap.DualTreeBidiMap,6,281,85008,6315,9,0,0,0,60,19,31.666666,12,2,16.666668,26,0,0.0,0,0.0,26,120,2
evosuite,collections-24,org.apache.commons.collections4.functors.EqualPredicate,7,277,78046,1293,8,0,0,0,16,15,93.75,6,5,83.33333,1,0,0.0,0,0.0,1,120,2
evosuite,ta4j-74,org.ta4j.core.rules.TimeRangeRule,3,275,80384,6169,9,0,0,0,12,11,91.66667,4,0,0.0,3,0,0.0,0,0.0,3,120,2
evosuite,ta4j-67,org.ta4j.core.indicators.SMAIndicator,3,273,80287,5719,9,0,0,0,10,10,100.0,2,2,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,spatial4j-43,org.locationtech.spatial4j.shape.SpatialRelation,6,260,78058,1142,15,0,0,0,20,20,100.0,21,21,100.0,18,18,100.0,18,100.0,0,120,2
evosuite,jsoup-28,org.jsoup.helper.DataUtil,6,293,241008,15,0,0,0,0,124,0,0.0,114,0,0.0,0,0,0.0,0,0.0,0,120,0
evosuite,collections-4,org.apache.commons.collections4.map.MultiValueMap,6,276,100068,5963,20,0,0,0,88,55,62.5,44,21,47.727272,21,0,0.0,0,0.0,21,120,2
evosuite,jsoup-36,org.jsoup.nodes.DocumentType,10,264,89225,4904,21,0,0,0,38,38,100.0,26,26,100.0,23,23,100.0,23,100.0,0,120,2
evosuite,collections-24,org.apache.commons.collections4.functors.EqualPredicate,10,264,78354,1146,9,0,0,0,16,15,93.75,6,5,83.33333,1,0,0.0,0,0.0,1,120,2
evosuite,ta4j-53,org.ta4j.core.criteria.SqnCriterion,5,291,82574,6280,13,0,0,0,29,25,86.206894,10,7,70.0,3,0,0.0,0,0.0,3,120,2
evosuite,threeten-extra-100,org.threeten.extra.chrono.EthiopicEra,7,320,78539,1697,6,0,0,0,8,8,100.0,3,3,100.0,3,3,100.0,3,100.0,0,120,2
evosuite,collections-17,org.apache.commons.collections4.trie.analyzer.StringKeyAnalyzer,4,268,80801,1295,29,0,0,0,40,40,100.0,34,34,100.0,56,56,100.0,56,100.0,0,120,2
evosuite,collections-13,org.apache.commons.collections4.MapUtils,3,285,140056,9,1,1,0,0,306,0,0.0,188,0,0.0,118,0,0.0,0,0.0,118,120,2
evosuite,ta4j-67,org.ta4j.core.indicators.SMAIndicator,10,277,80277,2406,8,0,0,0,10,9,90.0,2,2,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,collections-24,org.apache.commons.collections4.functors.EqualPredicate,8,297,78421,1181,8,0,0,0,16,16,100.0,6,6,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,jsoup-29,org.jsoup.select.Selector,9,270,116770,9795,30,0,0,0,32,32,100.0,14,14,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,jsoup-32,org.jsoup.parser.CharacterReader,10,267,112530,8077,185,0,0,0,354,351,99.15254,274,265,96.71533,196,194,98.97959,194,98.97959,2,120,2
evosuite,ta4j-60,org.ta4j.core.utils.BarSeriesUtils,5,273,87024,5803,41,0,0,0,78,76,97.4359,74,64,86.48649,1,0,0.0,0,0.0,1,120,2
evosuite,ta4j-82,org.ta4j.core.analysis.Returns,7,324,87576,6121,29,0,0,0,57,49,85.96491,12,9,75.0,2,0,0.0,0,0.0,2,120,2
evosuite,ta4j-75,org.ta4j.core.indicators.aroon.AroonDownIndicator,1,251,117693,11,12,1,0,0,19,0,0.0,6,0,0.0,12,0,0.0,0,0.0,12,120,2
evosuite,threeten-extra-98,org.threeten.extra.chrono.CopticChronology,8,313,85826,2751,44,0,0,0,24,24,100.0,4,4,100.0,22,22,100.0,22,100.0,0,120,2
evosuite,threeten-extra-93,org.threeten.extra.DayOfMonth,7,287,85346,5408,54,0,0,0,53,53,100.0,32,30,93.75,44,44,100.0,41,93.181816,3,120,2
evosuite,threeten-extra-96,org.threeten.extra.chrono.PaxDate,9,270,100496,6523,121,0,0,0,137,137,100.0,113,112,99.11504,0,0,0.0,0,0.0,0,120,2
evosuite,collections-24,org.apache.commons.collections4.functors.EqualPredicate,9,281,78174,1119,8,0,0,0,16,16,100.0,6,6,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,ta4j-56,org.ta4j.core.criteria.pnl.NetLossCriterion,6,271,49526,6369,12,0,0,0,11,11,100.0,4,4,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,spatial4j-48,org.locationtech.spatial4j.shape.impl.BufferedLineString,10,293,110129,8666,56,0,4,0,54,54,100.0,28,28,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,spatial4j-44,org.locationtech.spatial4j.shape.impl.InfBufLine,4,274,92423,6632,40,0,2,0,49,48,97.95918,42,38,90.47619,1,0,0.0,0,0.0,1,120,2
evosuite,ta4j-82,org.ta4j.core.analysis.Returns,8,300,86227,5991,29,0,0,0,57,49,85.96491,12,9,75.0,2,0,0.0,0,0.0,2,120,2
evosuite,collections-4,org.apache.commons.collections4.map.MultiValueMap,9,272,90561,5786,25,0,0,0,88,65,73.86364,44,24,54.545456,12,0,0.0,0,0.0,12,120,2
evosuite,threeten-extra-96,org.threeten.extra.chrono.PaxDate,10,307,99686,6243,119,0,0,0,137,136,99.27007,113,111,98.23009,0,0,0.0,0,0.0,0,120,2
evosuite,threeten-extra-98,org.threeten.extra.chrono.CopticChronology,10,289,85441,2745,44,0,0,0,24,24,100.0,4,4,100.0,22,22,100.0,22,100.0,0,120,2
evosuite,threeten-extra-85,org.threeten.extra.chrono.PaxEra,7,302,78011,1649,5,0,0,0,8,8,100.0,3,3,100.0,3,3,100.0,3,100.0,0,120,2
evosuite,collections-14,org.apache.commons.collections4.bag.CollectionBag,8,296,127196,6262,60,0,2,0,44,39,88.63636,24,21,87.5,3,0,0.0,0,0.0,3,120,2
evosuite,ta4j-67,org.ta4j.core.indicators.SMAIndicator,7,280,100186,2197,8,0,0,0,10,10,100.0,2,2,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,jsoup-26,org.jsoup.examples.Wikipedia,7,279,82401,16,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,120,2
evosuite,jsoup-39,org.jsoup.nodes.TextNode,7,283,123650,9817,67,0,0,0,50,50,100.0,70,52,74.28571,0,0,0.0,0,0.0,0,120,2
evosuite,spatial4j-44,org.locationtech.spatial4j.shape.impl.InfBufLine,8,277,95673,7643,45,0,2,0,49,49,100.0,42,39,92.85714,0,0,0.0,0,0.0,0,120,2
evosuite,jsoup-29,org.jsoup.select.Selector,4,278,96449,9581,30,0,0,0,32,32,100.0,14,14,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,spatial4j-45,org.locationtech.spatial4j.context.SpatialContextFactory,7,286,90010,6227,40,0,1,0,151,141,93.37748,60,57,95.0,1,0,0.0,0,0.0,1,120,2
evosuite,spatial4j-47,org.locationtech.spatial4j.distance.DistanceUtils,1,260,106012,8053,97,0,3,0,162,152,93.827156,118,110,93.220345,7,0,0.0,0,0.0,7,120,2
evosuite,ta4j-78,org.ta4j.core.indicators.UlcerIndexIndicator,10,272,83632,5742,9,0,0,0,19,18,94.73685,4,3,75.0,0,0,0.0,0,0.0,0,120,2
evosuite,collections-2,org.apache.commons.collections4.collection.CompositeCollection,1,285,94875,4857,52,0,0,0,112,110,98.21429,60,58,96.666664,68,66,97.05882,66,97.05882,2,120,2
evosuite,threeten-extra-84,org.threeten.extra.scale.UtcInstant,5,274,89573,5561,67,0,0,0,72,71,98.61111,34,33,97.05882,72,71,98.61111,71,98.61111,1,120,2
