,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
1600,GUAVA-6,com.google.common.base.Throwables,7,298,28320,10,0,0,0,0,92,0,0.0,38,0,0.0,0,0,0.0,0,0.0,0,30,0
1601,FASTJSON-9,com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer,3,303,30900,15806,5,0,0,0,19,6,31.578945,18,2,11.111112,15,9,60.000004,9,60.000004,6,30,2
1602,SEATA-15,io.seata.core.rpc.netty.RpcServer,2,291,33976,29969,1,0,0,0,102,1,0.9803922,44,0,0.0,42,0,0.0,0,0.0,42,30,2
1603,FASTJSON-85,com.alibaba.fastjson.serializer.CharArrayCodec,2,294,31012,16081,5,0,0,0,35,3,8.571429,20,0,0.0,20,1,5.0,1,5.0,19,30,2
1604,GUAVA-197,com.google.common.primitives.Booleans,3,290,29035,3110,68,0,0,0,75,74,98.66667,52,51,98.07692,92,92,100.0,92,100.0,0,30,2
1605,FASTJSON-31,com.alibaba.fastjson.serializer.ASMSerializerFactory,7,316,37340,17286,51,0,0,0,1364,202,14.809383,398,36,9.045226,404,50,12.376238,50,12.376238,354,30,2
1606,GUAVA-153,com.google.common.collect.ReverseOrdering,5,322,36541,6608,2,0,0,0,21,5,23.809525,4,0,0.0,16,0,0.0,0,0.0,16,30,2
1607,FASTJSON-64,com.alibaba.fastjson.serializer.JSONSerializer,3,308,33139,24138,116,0,27,0,185,142,76.75676,108,71,65.74074,23,0,0.0,0,0.0,23,30,2
1608,SEATA-21,io.seata.core.rpc.netty.RmRpcClient,7,310,29543,48818,3,0,0,0,211,4,1.8957347,88,2,2.2727273,75,2,2.6666667,2,2.6666667,73,30,2
1609,GUAVA-174,com.google.common.collect.TopKSelector,8,295,32574,8605,49,0,1,0,79,74,93.67088,36,31,86.11111,68,64,94.117645,64,94.117645,4,30,2
1610,FASTJSON-79,com.alibaba.fastjson.parser.ParserConfig,10,306,35382,43339,194,0,51,0,518,409,78.95753,410,271,66.097565,169,147,86.982254,147,86.982254,22,30,2
1611,GUAVA-6,com.google.common.base.Throwables,9,321,28454,10,0,0,0,0,92,0,0.0,38,0,0.0,0,0,0.0,0,0.0,0,30,0
1612,FASTJSON-32,com.alibaba.fastjson.support.hsf.HSFJSONUtils,3,306,31646,22463,12,0,0,0,70,25,35.714287,28,11,39.285713,30,11,36.666668,11,36.666668,19,30,2
1613,FASTJSON-49,com.alibaba.fastjson.serializer.ArraySerializer,9,309,30551,14607,7,0,0,0,28,6,21.428572,14,1,7.1428576,13,0,0.0,0,0.0,13,30,2
1614,SEATA-21,io.seata.core.rpc.netty.RmRpcClient,3,283,30054,48461,3,0,0,0,211,4,1.8957347,88,2,2.2727273,75,2,2.6666667,2,2.6666667,73,30,2
1615,SPOON-151,spoon.support.compiler.jdt.JDTBatchCompiler,8,290,33978,145955,22,0,2,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438,25,30,2
1616,SPOON-167,spoon.support.reflect.CtExtendedModifier,10,308,29240,1810,24,0,0,0,26,26,100.0,16,16,100.0,18,18,100.0,18,100.0,0,30,2
1617,GUAVA-275,com.google.common.math.PairedStatsAccumulator,1,302,28891,5260,69,0,0,0,60,60,100.0,38,38,100.0,75,75,100.0,75,100.0,0,30,2
